"ShareName"	"Owners"
"\\bdcfs1\CMSoftware"	"POWERENG\FS-BDCFS1-CMSoftware-Share-FC, POWERENG\pgConfigMgrSoftwareShareRW, POWERENG\FS-BDCFS1-CMSoftware-Share-RW"
"\\bdcfs1\Env_GIS"	"POWERENG\FS-BDCFS1-Env_GIS-Share-FC, POWERENG\FS-BDCFS1-Env_GIS-Share-RW"
"\\bdcfs1\Facilities"	"POWERENG\FS-ALL-Facilities-Share-FC, POWERENG\FS-ALL-Facilities-Share-RW"
"\\bdcfs1\Generation"	"POWERENG\FS-ALL-Generation-Share-FC, POWERENG\SRVCCAE, POWERENG\FS-ALL-Generation-Share-RW"
"\\bdcfs1\IEB"	"POWERENG\FS-BDCFS1-IEB-Share-FC, POWERENG\FS-BDCFS1-IEB-Share-RW"
"\\bdcfs1\PD_Scans"	"POWERENG\FS-BDCFS1-PD_Scans-Share-FC, POWERENG\FS-BDCFS1-PD_Scans-Share-RW"
"\\bdcfs1\Projects"	"POWERENG\FS-ALL-Projects-Share-FC, POWERENG\FS-ALL-Projects-Share-RW"
"\\bdcfs1\Reference"	"POWERENG\FS-ALL-Reference-Share-FC, POWERENG\FS-ALL-Reference-Share-RW"
"\\bdcfs1\Shares$"	"S-1-5-21-1380516296-1705272057-1576261225-50272"
"\\bdcfs1\SQL_DB_Backups"	"POWERENG\FS-BDCFS1-SQL_DB_Backups-Share-FC, POWERENG\FS-BDCFS1-SQL_DB_Backups-Share-RW"
"\\bdcfs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\bdcfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
"\\bilfs1\Scada"	"POWERENG\FS-BILFS1-Scada-Share-FC, POWERENG\FS-BILFS1-Scada-Share-RW"
"\\bilfs1\Shares$"	"Everyone"
"\\bilfs1\Substation"	"POWERENG\FS-BILFS1-Substation-Share-FC, POWERENG\FS-BILFS1-Substation-Share-RW"
"\\bilfs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\bilfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
"\\birfs1\Hardy_Archive"	"POWERENG\FS-BIRFS1-Hardy_Archive-Share-FC, POWERENG\FS-BIRFS1-Hardy_Archive-Share-RW"
"\\birfs1\Projects"	"POWERENG\FS-ALL-Projects-Share-FC, POWERENG\FS-ALL-Projects-Share-RW"
"\\birfs1\Shares$"	"Everyone"
"\\birfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
"\\boifs1\Accounting"	"POWERENG\FS-BOIFS1-Accounting-Share-FC, POWERENG\FS-BOIFS1-Accounting-Share-RW"
"\\boifs1\AEP_OE_Projects"	"POWERENG\FS-BOIFS1-AEP_OE_Projects-Share-FC, POWERENG\FS-BOIFS1-AEP_OE_Projects-Share-RW"
"\\boifs1\Archive"	"POWERENG\FS-BOIFS1-Archive-Share-FC, POWERENG\FS-BOIFS1-Archive-Share-RW"
"\\boifs1\BKK_Data"	"POWERENG\FS-BOIFS1-BKK_data-Share-FC, POWERENG\FS-BOIFS1-BKK_data-Share-RW"
"\\boifs1\BMoffetHold$"	"POWERENG\FS-BOIFS1-BMoffettHold-Share-FC, POWERENG\FS-BOIFS1-BMoffettHold-Share-RW"
"\\boifs1\CAD_Standards"	"POWERENG\FS-BOIFS1-CAD_Standards-Share-FC, POWERENG\FS-BOIFS1-CAD_Standards-Share-RW"
"\\boifs1\CDLibrary"	"POWERENG\FS-BOIFS1-CDLibrary-Share-FC, POWERENG\FS-BOIFS1-CDLibrary-Share-RW"
"\\boifs1\Civil"	"POWERENG\FS-BOIFS1-Civil-Share-FC, POWERENG\FS-BOIFS1-Civil-Share-RW"
"\\boifs1\DRP"	"POWERENG\FS-BOIFS1-DRP-Share-FC, POWERENG\FS-BOIFS1-DRP-Share-RW"
"\\boifs1\Enviro"	"POWERENG\FS-BOIFS1-Enviro-Share-FC, POWERENG\FS-BOIFS1-Enviro-Share-RW"
"\\boifs1\FAC_Elec_Cntls"	"POWERENG\FS-BOIFS1-FAC_Elec_Cntls-Share-FC, POWERENG\FS-BOIFS1-FAC_Elec_Cntls-Share-RW"
