Office	DCName	TestHost	ServerName	DateTime	Description	Latency	SmallFileBytesRead	SmallFileReadTime	SmallFileMbps	SmallFileAverageMS	SmallFileMSStdDev	SmallFileMSVariance	MediumFileBytesRead	MediumFileReadTime	MediumFileMbps	MediumFileAverageMS	MediumFileMSStdDev	MediumFileMSVariance	LargeFileBytesRead	LargeFileReadTime	LargeFileMbps	LargeFileAverageMS	LargeFileMSStdDev	LargeFileMSVariance
PLV	LAS04	47722L	LAS04FS1	20230801-1620	Post SDWAN conversion	62.44	376840	8549.206	0.352631578	427.4603	31.27564499	7.31661981	96469000	31984.7001	24.1287865	1599.235005	520.1555927	32.52527559	771751935	127252.7766	48.51772704	26139.76552	6553.731929	25.07188492
PLV	NY7	47722L	NY7FS1	20230801-1618	Post SDWAN conversion	29.68	376840	4262.4596	0.707272393	213.12298	16.54999788	7.7654685	96469000	22671.9777	34.03990645	1133.598885	286.3518322	25.26041936	771751935	101852.7055	60.61709848	62940.5757	605.261988	0.961640375
PLV	SE4	47722L	SE4FS1	20230801-1613	Post SDWAN conversion	66.2	376840	9607.2232	0.313797227	480.36116	114.7087308	23.87968478	96469000	48420.8429	15.93842556	2421.042145	677.075113	27.96626711	771751935	227906.9124	27.09007557	26072.51242	3159.319501	12.11743406
PLV	YYC01	47722L	ADCFS1	20230801-1630	Post SDWAN conversion	78.48	376840	10642.9727	0.283259206	532.148635	38.65717492	7.264356681	96469000	64605.7045	11.94557053	3230.285225	1727.635729	53.4824515	771751935	265000.7781	23.29810321	10542.42224	215.487889	2.044007383
PTL	CDC	47542L	CDCFS1	20231004-1152	Post SDWAN conversion	53.04	376840	7365.9299	0.409278942	368.296495	27.04821284	7.344140714	96469000	69714.4561	11.07018606	3485.722805	468.665611	13.44529204	771751935	429048.7471	14.39000934	30799.55692	1574.686882	5.112693297
PTL	CH3	47542L	CH3FS1	20231004-1207	Post SDWAN conversion	59.72	376840	7778.0914	0.387591228	388.90457	27.7165875	7.126835125	96469000	44265.1369	17.43475914	2213.256845	551.7041572	24.92725408	771751935	205130.2675	30.09802286	13979.65248	218.4398191	1.562555431
PTL	DDC	47542L	DDCFS1	20231004-1201	Post SDWAN conversion	35.92	376840	4940.4487	0.610211781	247.022435	17.3745113	7.033576241	96469000	46892.8949	16.45775979	2344.644745	325.4365882	13.87999563	771751935	294149.9547	20.98934704	36887.4084	1225.739342	3.322920735
PTL	LAS04	47542L	LAS04FS1	20231004-1217	Post SDWAN conversion	43.44	376840	6142.6631	0.490783875	307.133155	22.05794627	7.181883789	96469000	56701.8058	13.61071291	2835.09029	375.5092669	13.24505495	154350387	71293.4206	17.32001474	46513.0193	346.444305	0.744832974
PTL	NY7	47542L	NY7FS1	20231004-1212	Post SDWAN conversion	66.76	376840	9171.9057	0.328690689	458.595285	32.86641628	7.166758438	96469000	50689.2262	15.2251683	2534.46131	661.4700095	26.09903757	771751935	237024.7147	26.04798191	29208.7873	1138.159202	3.896632854
PTL	SE4	47542L	SE4FS1	20231004-1150	Post SDWAN conversion	6.16	376840	1140.8145	2.642603158	57.040725	7.436970368	13.03800113	96469000	11676.7952	66.09279231	583.83976	71.8701387	12.30990824	771751935	75105.8591	82.20417893	33717.74306	883.4277792	2.62006795
SAT	AT4	51274L	AT4FS1	20230726-1129	Post SDWAN conversion	31.84	376840	4365.0407	0.690651063	218.252035	14.60153746	6.690218244	96469000	30533.0664	25.2759415	1526.65332	625.8787227	40.99678129	771751935	119848.0505	51.51536011	42793.50166	1777.944743	4.154707313
SAT	CDC	51274L	CDCFS1	20230726-1108	Post SDWAN conversion	33.08	376840	4668.6251	0.645740434	233.431255	17.67882088	7.573459211	96469000	25607.9305	30.13722643	1280.396525	304.3351159	23.7688177	771751935	114129.9375	54.09637134	6328.341	235.647502	3.723685276
SAT	CH3	51274L	CH3FS1	20230726-1114	Post SDWAN conversion	32.48	376840	4548.5879	0.66278152	227.429395	16.50802772	7.258528618	96469000	28177.4559	27.38898795	1408.872795	436.2623629	30.96534793	771751935	128661.458	47.98651885	8046.46088	225.5424143	2.803001439
SAT	DA11	51274L	DA11FS1	20230726-1106	Post SDWAN conversion	11.52	376840	1787.9725	1.686110944	89.398625	10.91410128	12.20835475	96469000	14741.297	52.35305957	737.06485	112.3825744	15.2473116	771751935	84792.8698	72.81290862	17381.71466	1176.261496	6.767235103
SAT	DDC	51274L	DDCFS1	20230726-1111	Post SDWAN conversion	29	376840	4123.9435	0.731028444	206.197175	15.67204618	7.600514499	96469000	27743.9204	27.81697716	1387.19602	388.1587074	27.98153266	771751935	123220.9842	50.10522777	11370.19508	1120.365355	9.853527991
SAT	LAS04	51274L	LAS04FS1	20230726-1126	Post SDWAN conversion	47.56	376840	6012.5343	0.501405871	300.626715	21.99750079	7.317214236	96469000	29444.3841	26.210499	1472.219205	358.4470594	24.34739733	771751935	124600.6298	49.55043558	25811.83794	819.6223873	3.175373986
SAT	NY7	51274L	NY7FS1	20230726-1122	Post SDWAN conversion	43.64	376840	6139.505	0.491036329	306.97525	24.3982328	7.947947854	96469000	40937.0338	18.85217194	2046.85169	844.6942074	41.26797323	771751935	155317.1944	39.75101085	7975.02678	219.2329212	2.748992915
SAT	SE4	51274L	SE4FS1	20230726-1117	Post SDWAN conversion	63.48	376840	8641.888	0.348849696	432.0944	31.39119575	7.264892983	96469000	47124.4499	16.37689144	2356.222495	552.4922874	23.44822225	771751935	212359.22	29.07345148	20990.19904	635.4655801	3.027439515
SAT	YYC01	51274L	ADCFS1	20230726-1132	Post SDWAN conversion	76.88	376840	10081.4478	0.299036414	504.07239	37.15140949	7.37025281	96469000	59773.6212	12.91124721	2988.68106	936.4260105	31.33241693	463051161	156821.2888	23.62185209	25338.87846	596.6562727	2.354706716
SE4	AT4	SE4-MGMT01	AT4FS1	20230928-1609	Special Test From SE4-MGMT01	69	376840	10503.1765	0.287029357	525.158825	38.34520658	7.301639953	96469000	60202.7229	12.81922084	3010.136145	709.7565035	23.57888379	771751935	257401.3164	23.98595146	53876.2893	1265.340075	2.348602867
