"PWPath"	"AttribName"	"TypeName"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"section"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"sequence"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"site"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"source"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"source_name"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"spec_type1"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"spec_type2"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"status"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"status_backcheck"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"status_pecheck"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"status_QAQC"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"transmittal_description"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"transmittal_doctype"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"transmittal_issuedfor"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"transmittal_logno"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"vendor_name"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"voltage_class"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"year"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"year_case"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"zipfile_name"	"String"
